Model Outputs
100
,,Sub1:LNeckAngles,,,Sub1:LHeadAngles,,,Sub1:LThoraxAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,1.4634,-2.67661,-1.58634,-0.348243,3.0707,1.67629,-1.03467,0.351534,0.165451
2,0,1.47414,-2.68117,-1.59175,-0.362589,3.07042,1.67594,-1.03092,0.346384,0.160255
3,0,1.48657,-2.68483,-1.59526,-0.38187,3.07052,1.67532,-1.02397,0.342468,0.156772
4,0,1.50047,-2.68694,-1.59627,-0.40602,3.07108,1.67453,-1.01366,0.340511,0.15573
5,0,1.5162,-2.68737,-1.59534,-0.434797,3.07198,1.67395,-1.00061,0.340528,0.156929
6,0,1.53469,-2.68636,-1.59416,-0.467883,3.07293,1.67421,-0.98601,0.341904,0.159363
7,0,1.55694,-2.68439,-1.59485,-0.504891,3.07362,1.67609,-0.971185,0.34383,0.161735
8,0,1.58343,-2.68181,-1.59914,-0.545313,3.07391,1.68031,-0.957095,0.345772,0.163057
9,0,1.61389,-2.67888,-1.6079,-0.588476,3.07396,1.6873,-0.944105,0.347613,0.16289
10,0,1.6474,-2.67601,-1.62112,-0.633583,3.07424,1.69708,-0.932085,0.349445,0.161207
11,0,1.68274,-2.67389,-1.63813,-0.679824,3.07548,1.70917,-0.920619,0.351363,0.158172
12,0,1.71869,-2.67337,-1.65776,-0.726521,3.07846,1.72267,-0.909192,0.353352,0.153999
13,0,1.75433,-2.67529,-1.67865,-0.77323,3.08379,1.73642,-0.897349,0.355233,0.148886
14,0,1.78912,-2.68028,-1.69956,-0.819773,3.09168,1.74933,-0.884767,0.356675,0.142952
15,0,1.82293,-2.6885,-1.71976,-0.866211,3.10191,1.76066,-0.871271,0.357279,0.136165
16,0,1.85586,-2.69972,-1.73928,-0.912751,3.11388,1.77016,-0.856791,0.356693,0.128246
17,0,1.88814,-2.71333,-1.75894,-0.959607,3.12677,1.77817,-0.841335,0.354688,0.118712
18,0,1.92008,-2.7285,-1.78001,-1.007,3.13964,1.7856,-0.824966,0.351133,0.107187
19,0,1.95226,-2.74427,-1.80392,-1.0554,3.15151,1.79397,-0.807763,0.345902,0.0937425
20,0,1.98568,-2.75975,-1.83219,-1.10567,3.16148,1.80539,-0.789781,0.338897,0.0789921
21,0,2.02177,-2.77385,-1.86633,-1.15916,3.16875,1.8223,-0.771008,0.330267,0.0639047
22,0,2.062,-2.78502,-1.90724,-1.21747,3.17255,1.84662,-0.751281,0.320653,0.0495481
23,0,2.10743,-2.79155,-1.95443,-1.28198,3.17222,1.87872,-0.730306,0.311055,0.0368147
24,0,2.15859,-2.79249,-2.00588,-1.35359,3.16762,1.91702,-0.707833,0.302312,0.0261511
25,0,2.21572,-2.78829,-2.05846,-1.43278,3.15946,1.95835,-0.683778,0.294763,0.0175609
26,0,2.27921,-2.78051,-2.10855,-1.52001,3.14909,1.99886,-0.658196,0.288335,0.0108935
27,0,2.35008,-2.7711,-2.15282,-1.61624,3.13814,2.03498,-0.631254,0.282786,0.00602941
28,0,2.43006,-2.76197,-2.18906,-1.72299,3.12822,2.0642,-0.603219,0.277857,0.00282637
29,0,2.52119,-2.75478,-2.21651,-1.84192,3.12074,2.08526,-0.574456,0.273287,0.000961188
30,0,2.62535,-2.75076,-2.23583,-1.97441,3.11665,2.09809,-0.545432,0.268745,-0.000162414
31,0,2.74396,-2.75029,-2.24877,-2.12133,3.11608,2.1037,-0.51662,0.263879,-0.00119584
32,0,2.87763,-2.75272,-2.25763,-2.28293,3.11824,2.1041,-0.48831,0.258467,-0.00244494
33,0,3.02609,-2.75632,-2.26495,-2.45883,3.12148,2.10206,-0.460517,0.252456,-0.00378482
34,0,3.18808,-2.75883,-2.27336,-2.64792,3.12362,2.10065,-0.433051,0.245855,-0.00494252
35,0,3.36159,-2.75807,-2.28522,-2.84841,3.12255,2.10266,-0.405635,0.238632,-0.00576026
36,0,3.54444,-2.7526,-2.30229,-3.05833,3.11678,2.11006,-0.378016,0.230671,-0.00624014
37,0,3.73492,-2.74182,-2.32559,-3.27619,3.10554,2.12398,-0.349969,0.221763,-0.00645905
38,0,3.9324,-2.72555,-2.356,-3.5016,3.0885,2.14535,-0.321205,0.211597,-0.00648604
39,0,4.13759,-2.70348,-2.39492,-3.73568,3.06523,2.17563,-0.291297,0.199819,-0.00634674
40,0,4.35243,-2.67483,-2.44431,-3.98085,3.03512,2.21682,-0.259732,0.186225,-0.00606047
41,0,4.57966,-2.63828,-2.50607,-4.2403,2.99744,2.27083,-0.226024,0.170952,-0.00567743
42,0,4.82218,-2.59241,-2.58137,-4.51746,2.95169,2.33894,-0.189708,0.154529,-0.00511808
43,0,5.08264,-2.53618,-2.66977,-4.81556,2.89792,2.4212,-0.15026,0.137726,-0.00393135
44,0,5.36343,-2.46946,-2.76894,-5.13756,2.83677,2.51596,-0.107241,0.121185,-0.0014594
45,0,5.66699,-2.39319,-2.87503,-5.48606,2.76927,2.61969,-0.0606428,0.105077,0.00265089
46,0,5.9957,-2.30903,-2.98278,-5.86314,2.69657,2.72705,-0.0109366,0.0892103,0.00831162
47,0,6.35143,-2.21853,-3.08562,-6.2703,2.61948,2.83129,0.041256,0.0734134,0.0153339
48,0,6.73516,-2.12254,-3.17644,-6.70825,2.53811,2.92543,0.0954339,0.0576841,0.0236619
49,0,7.14688,-2.02114,-3.24902,-7.17695,2.45187,3.00352,0.151277,0.0420914,0.0333306
50,0,7.5856,-1.91379,-3.29941,-7.67543,2.35985,3.06204,0.208671,0.0268144,0.0443768
51,0,8.04912,-1.79949,-3.32745,-8.20171,2.26144,3.10112,0.267749,0.0123298,0.0567757
52,0,8.53398,-1.67748,-3.33841,-8.75245,2.15716,3.12609,0.328767,-0.000675997,0.0703288
53,0,9.03534,-1.54882,-3.34501,-9.32243,2.05023,3.14912,0.3918,-0.0117365,0.0845444
54,0,9.54731,-1.41747,-3.36656,-9.90459,1.94715,3.18827,0.456491,-0.0209694,0.0986679
55,0,10.0654,-1.28747,-3.41932,-10.493,1.85343,3.25861,0.522072,-0.0291375,0.111895
56,0,10.5897,-1.15792,-3.50336,-11.0868,1.7669,3.36029,0.587639,-0.0374562,0.123686
57,0,11.1234,-1.02347,-3.60258,-11.6895,1.67828,3.47867,0.65256,-0.0473233,0.134
58,0,11.6682,-0.87998,-3.69819,-12.3033,1.57916,3.59671,0.716753,-0.0600198,0.143252
59,0,12.2217,-0.727642,-3.77956,-12.9266,1.4672,3.70471,0.780721,-0.0762478,0.151993
60,0,12.779,-0.56933,-3.84662,-13.5554,1.34554,3.80266,0.845365,-0.0957027,0.16069
61,0,13.3356,-0.407517,-3.90645,-14.1861,1.21932,3.89755,0.911707,-0.117139,0.169788
62,0,13.8917,-0.240899,-3.96461,-14.8194,1.0902,3.99568,0.980632,-0.138958,0.179736
63,0,14.4542,-0.0630459,-4.01943,-15.4634,0.953377,4.09745,1.05264,-0.159843,0.190774
64,0,15.0343,0.134804,-4.06649,-16.1301,0.800893,4.20098,1.12779,-0.179065,0.202842
