Model Outputs
100
,,Sub2:LHeadAngles,,,Sub2:LNeckAngles,,,Sub2:LThoraxAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,-0.102212,1.86937,-2.05009,-3.90173,-3.47848,5.09177,3.87137,-1.75041,2.91924
2,0,-0.107371,1.87459,-2.04018,-3.89803,-3.47859,5.08796,3.87345,-1.74453,2.92508
3,0,-0.113696,1.88162,-2.02897,-3.89367,-3.47877,5.08386,3.8761,-1.7368,2.93185
4,0,-0.120854,1.89042,-2.01765,-3.88899,-3.47913,5.08021,3.87928,-1.72745,2.93905
5,0,-0.128478,1.90091,-2.00747,-3.8844,-3.47985,5.07789,3.88291,-1.71687,2.94635
6,0,-0.13624,1.91294,-1.99951,-3.88025,-3.48118,5.07783,3.88697,-1.70551,2.95357
7,0,-0.143909,1.92629,-1.9946,-3.8768,-3.48325,5.0808,3.8914,-1.69381,2.96067
8,0,-0.151362,1.94064,-1.99332,-3.8742,-3.48609,5.08734,3.8962,-1.68216,2.96762
9,0,-0.158553,1.95566,-1.9961,-3.87252,-3.48969,5.09781,3.90139,-1.67089,2.97439
10,0,-0.165488,1.97107,-2.00327,-3.87179,-3.49395,5.11236,3.90695,-1.66019,2.9808
11,0,-0.172196,1.98673,-2.01513,-3.87188,-3.49859,5.13083,3.9128,-1.64999,2.9864
12,0,-0.178667,2.00258,-2.03215,-3.87255,-3.50313,5.15278,3.91866,-1.63983,2.99031
13,0,-0.184793,2.01873,-2.05501,-3.87356,-3.50696,5.17779,3.92418,-1.62908,2.99143
14,0,-0.190361,2.03533,-2.08461,-3.87492,-3.50975,5.20591,3.92908,-1.61728,2.98888
15,0,-0.195151,2.05264,-2.12192,-3.87678,-3.51153,5.23782,3.93325,-1.60428,2.98239
16,0,-0.19907,2.07094,-2.1678,-3.87927,-3.51263,5.27471,3.93666,-1.5902,2.97222
17,0,-0.202224,2.09054,-2.22289,-3.88244,-3.51363,5.318,3.93938,-1.57535,2.95916
18,0,-0.204877,2.11171,-2.28759,-3.88626,-3.51523,5.36922,3.94158,-1.5602,2.94434
19,0,-0.207349,2.13446,-2.36229,-3.89072,-3.51792,5.42998,3.94354,-1.54523,2.92893
20,0,-0.209913,2.15845,-2.44784,-3.89588,-3.52169,5.50213,3.94552,-1.53085,2.914
21,0,-0.212714,2.183,-2.54578,-3.90193,-3.52614,5.58805,3.94778,-1.51747,2.90041
22,0,-0.215765,2.2073,-2.65833,-3.90919,-3.53056,5.69047,3.95053,-1.50534,2.8887
23,0,-0.219022,2.23063,-2.78821,-3.91789,-3.53407,5.81218,3.95383,-1.49448,2.87902
24,0,-0.222513,2.25249,-2.93837,-3.9281,-3.53576,5.95588,3.95763,-1.48471,2.87116
25,0,-0.226442,2.27277,-3.11172,-3.93965,-3.535,6.12411,3.96181,-1.4757,2.86475
26,0,-0.231216,2.29173,-3.3109,-3.95214,-3.53156,6.31913,3.96623,-1.46708,2.85943
27,0,-0.237387,2.31001,-3.5381,-3.96505,-3.52565,6.54287,3.97075,-1.45855,2.85492
28,0,-0.245539,2.32836,-3.79502,-3.97777,-3.51775,6.79691,3.97524,-1.4499,2.85107
29,0,-0.256166,2.3475,-4.08281,-3.98977,-3.50844,7.08242,3.97952,-1.44102,2.84788
30,0,-0.269593,2.36802,-4.40209,-4.00063,-3.49827,7.40009,3.98343,-1.43183,2.84541
31,0,-0.285941,2.39036,-4.75306,-4.01018,-3.48768,7.75019,3.98685,-1.42234,2.8437
32,0,-0.305127,2.41491,-5.13556,-4.01852,-3.47712,8.13255,3.98975,-1.41255,2.84271
33,0,-0.326899,2.44211,-5.54903,-4.02605,-3.46711,8.54655,3.99223,-1.40251,2.84234
34,0,-0.350857,2.47237,-5.99237,-4.03332,-3.4582,8.99098,3.9944,-1.39234,2.84245
35,0,-0.376363,2.50586,-6.46396,-4.04105,-3.45075,9.46405,3.99639,-1.38215,2.8428
36,0,-0.402456,2.54247,-6.96199,-4.05019,-3.44472,9.96363,3.99821,-1.37203,2.84306
37,0,-0.428023,2.5819,-7.48463,-4.06181,-3.43986,10.4875,3.99994,-1.36204,2.84284
38,0,-0.452323,2.62376,-8.02977,-4.07667,-3.43579,11.0333,4.0017,-1.35217,2.84178
39,0,-0.475342,2.66753,-8.59467,-4.09475,-3.43214,11.5978,4.00365,-1.34242,2.83957
40,0,-0.497555,2.71255,-9.1762,-4.11548,-3.42845,12.1777,4.00593,-1.33277,2.83601
41,0,-0.519304,2.75818,-9.77133,-4.13826,-3.42427,12.7697,4.00856,-1.32321,2.83092
42,0,-0.540311,2.8039,-10.3775,-4.16308,-3.41913,13.3711,4.01146,-1.31374,2.82415
43,0,-0.559719,2.84939,-10.9928,-4.19058,-3.41267,13.98,4.01459,-1.30441,2.81565
44,0,-0.576639,2.8944,-11.6164,-4.22148,-3.40459,14.5955,4.01792,-1.29536,2.8055
45,0,-0.590657,2.93844,-12.2476,-4.25604,-3.3944,15.2172,4.02145,-1.28667,2.79392
46,0,-0.601899,2.98071,-12.8863,-4.29379,-3.38141,15.8452,4.02509,-1.27845,2.78119
47,0,-0.610903,3.02029,-13.5319,-4.33381,-3.36491,16.4791,4.02872,-1.27073,2.76757
48,0,-0.618494,3.0564,-14.1839,-4.37485,-3.34438,17.1183,4.03222,-1.26351,2.7532
49,0,-0.625635,3.08861,-14.841,-4.41562,-3.31967,17.7616,4.03551,-1.25672,2.73802
50,0,-0.633265,3.11681,-15.5016,-4.45485,-3.29099,18.407,4.03848,-1.25025,2.72185
51,0,-0.642085,3.1411,-16.1637,-4.49152,-3.25875,19.0523,4.04101,-1.24401,2.70451
52,0,-0.6523,3.16175,-16.8255,-4.5252,-3.22337,19.6958,4.04298,-1.23791,2.68588
53,0,-0.663462,3.17918,-17.4866,-4.55631,-3.1852,20.3369,4.04441,-1.23195,2.66603
54,0,-0.674649,3.19393,-18.1472,-4.58594,-3.14449,20.9763,4.0454,-1.22617,2.64513
55,0,-0.68482,3.20662,-18.8083,-4.61546,-3.10137,21.6151,4.04617,-1.2206,2.6234
56,0,-0.692979,3.21779,-19.4713,-4.64622,-3.05586,22.255,4.04696,-1.21529,2.60095
57,0,-0.698072,3.2279,-20.1384,-4.67965,-3.00773,22.8983,4.04804,-1.21028,2.57786
58,0,-0.698909,3.23731,-20.813,-4.71724,-2.95646,23.5486,4.04963,-1.2056,2.55422
59,0,-0.69428,3.24621,-21.5001,-4.7604,-2.9011,24.2109,4.05186,-1.20119,2.53018
60,0,-0.683126,3.25439,-22.2051,-4.81014,-2.8403,24.8911,4.05479,-1.19694,2.50601
