Model Outputs
100
,,Sub3:LHeadAngles,,,Sub3:LThoraxAngles,,,Sub3:LNeckAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,0.873821,-1.39789,0.27407,-3.93621,0.24787,-1.87894,3.05573,1.65838,-2.07802
2,0,0.874021,-1.38872,0.277848,-3.91873,0.251697,-1.88866,3.03795,1.65319,-2.09244
3,0,0.874405,-1.37729,0.282624,-3.90411,0.255737,-1.89972,3.02283,1.64602,-2.10924
4,0,0.87506,-1.36402,0.288271,-3.89295,0.259997,-1.91163,3.01088,1.63728,-2.12777
5,0,0.876072,-1.34938,0.29462,-3.88444,0.264521,-1.92394,3.00121,1.62748,-2.14743
6,0,0.877489,-1.33378,0.301455,-3.87818,0.268947,-1.93606,2.99338,1.61666,-2.16737
7,0,0.879285,-1.31767,0.308526,-3.87397,0.272517,-1.94721,2.98722,1.60449,-2.18657
8,0,0.88136,-1.30158,0.315593,-3.87119,0.274559,-1.95684,2.98222,1.59081,-2.20421
9,0,0.883586,-1.286,0.322476,-3.86924,0.274997,-1.96485,2.97792,1.57603,-2.22001
10,0,0.885836,-1.27135,0.329058,-3.86815,0.274469,-1.97166,2.97446,1.5612,-2.23423
11,0,0.887999,-1.25793,0.335189,-3.86846,0.273804,-1.97777,2.9725,1.54744,-2.2472
12,0,0.890002,-1.24597,0.340608,-3.87069,0.273348,-1.98335,2.97263,1.53533,-2.25882
13,0,0.891792,-1.23568,0.344976,-3.875,0.27291,-1.98828,2.97509,1.52485,-2.26859
14,0,0.893265,-1.22715,0.348003,-3.88103,0.272201,-1.99244,2.97961,1.5158,-2.27612
15,0,0.894241,-1.22033,0.349549,-3.88781,0.271137,-1.99587,2.98541,1.50803,-2.28132
16,0,0.89454,-1.21509,0.349621,-3.89438,0.269853,-1.99863,2.99171,1.50155,-2.28428
17,0,0.894073,-1.21131,0.348335,-3.90019,0.26852,-2.00093,2.99805,1.49641,-2.28536
18,0,0.89291,-1.20885,0.345945,-3.90477,0.267241,-2.00323,3.00388,1.49257,-2.28528
19,0,0.891245,-1.2074,0.342857,-3.90749,0.266228,-2.00615,3.00836,1.48997,-2.2851
20,0,0.889266,-1.20655,0.339564,-3.90781,0.265784,-2.01008,3.01075,1.48852,-2.28574
21,0,0.887045,-1.20588,0.336521,-3.90568,0.26597,-2.01488,3.01092,1.48787,-2.28752
22,0,0.884466,-1.20499,0.334092,-3.90154,0.266537,-2.01995,3.00942,1.48742,-2.29025
23,0,0.881195,-1.20358,0.332529,-3.89621,0.267235,-2.02471,3.0074,1.48662,-2.29357
24,0,0.876742,-1.20141,0.331964,-3.89058,0.26799,-2.02881,3.00625,1.48518,-2.29724
25,0,0.870594,-1.19842,0.332439,-3.88536,0.268789,-2.03211,3.00717,1.48302,-2.30116
26,0,0.862339,-1.1947,0.333922,-3.88086,0.26949,-2.03469,3.0109,1.48011,-2.30534
27,0,0.851755,-1.19053,0.336258,-3.87707,0.269878,-2.03664,3.01766,1.47649,-2.3097
28,0,0.838833,-1.18631,0.339039,-3.87378,0.269871,-2.03797,3.02724,1.47246,-2.31383
29,0,0.823733,-1.18255,0.341488,-3.87052,0.269511,-2.03866,3.03904,1.46854,-2.31692
30,0,0.806705,-1.17996,0.342424,-3.86656,0.268785,-2.03886,3.0521,1.46534,-2.31792
31,0,0.788032,-1.17941,0.340315,-3.86117,0.267644,-2.03884,3.06545,1.46359,-2.31554
32,0,0.768024,-1.18174,0.333452,-3.85412,0.266131,-2.03884,3.07859,1.46409,-2.30828
33,0,0.746993,-1.18754,0.320293,-3.84591,0.26441,-2.03893,3.09175,1.46749,-2.29464
34,0,0.725263,-1.19696,0.300039,-3.83768,0.26276,-2.03907,3.10576,1.47419,-2.27374
35,0,0.703302,-1.20943,0.273519,-3.83085,0.261557,-2.03902,3.12156,1.48404,-2.2462
36,0,0.681923,-1.22346,0.243849,-3.82667,0.26112,-2.03854,3.13949,1.49605,-2.21494
37,0,0.662207,-1.23694,0.215531,-3.82563,0.261473,-2.03761,3.15887,1.50836,-2.18458
38,0,0.645101,-1.24799,0.1924,-3.82732,0.262307,-2.03647,3.17824,1.519,-2.15932
39,0,0.631178,-1.25536,0.17676,-3.83073,0.263174,-2.03546,3.19597,1.52641,-2.1419
40,0,0.620747,-1.25825,0.170048,-3.83482,0.263675,-2.03477,3.21068,1.52946,-2.13404
41,0,0.614001,-1.25602,0.173384,-3.83874,0.263573,-2.03448,3.22127,1.52734,-2.13698
42,0,0.610953,-1.24833,0.187163,-3.84185,0.262816,-2.03459,3.22711,1.51969,-2.15114
43,0,0.611144,-1.2357,0.20984,-3.84383,0.261483,-2.03507,3.22835,1.50701,-2.17493
44,0,0.613412,-1.21986,0.237123,-3.8446,0.259695,-2.03586,3.22621,1.49093,-2.20389
45,0,0.616223,-1.2032,0.263551,-3.84448,0.257557,-2.03695,3.22264,1.47364,-2.23237
46,0,0.618441,-1.18728,0.28586,-3.84393,0.255057,-2.03838,3.21936,1.45649,-2.25703
47,0,0.61963,-1.17229,0.304181,-3.84332,0.252027,-2.04029,3.21714,1.43952,-2.27813
48,0,0.619533,-1.15806,0.319636,-3.84281,0.248261,-2.04284,3.2164,1.42243,-2.29692
49,0,0.61758,-1.145,0.331999,-3.84255,0.243732,-2.04604,3.21784,1.40558,-2.31318
50,0,0.613096,-1.13381,0.340144,-3.84279,0.238776,-2.04977,3.22242,1.38994,-2.32558
51,0,0.6057,-1.1249,0.343269,-3.84408,0.23412,-2.0537,3.23108,1.3766,-2.33297
52,0,0.595337,-1.11833,0.341015,-3.84708,0.230657,-2.05733,3.24455,1.36651,-2.33445
53,0,0.582079,-1.11406,0.333231,-3.85215,0.229074,-2.06021,3.26309,1.36029,-2.32943
54,0,0.566047,-1.11205,0.319988,-3.85911,0.229615,-2.06208,3.28642,1.35814,-2.31773
55,0,0.54754,-1.11216,0.301765,-3.86742,0.232087,-2.0629,3.31369,1.35976,-2.29981
56,0,0.527194,-1.1139,0.279851,-3.87631,0.235968,-2.06286,3.34345,1.36421,-2.2772
57,0,0.506066,-1.11622,0.257041,-3.88483,0.240573,-2.06224,3.37364,1.3699,-2.25308
58,0,0.485588,-1.11742,0.23786,-3.89224,0.245265,-2.06129,3.40198,1.37476,-2.23237
59,0,0.467138,-1.11592,0.226735,-3.89825,0.249636,-2.06014,3.42671,1.37708,-2.21973
60,0,0.451277,-1.11156,0.224663,-3.90305,0.253519,-2.05881,3.44743,1.37657,-2.21618
61,0,0.437364,-1.10622,0.227652,-3.90701,0.256846,-2.0573,3.46524,1.37481,-2.21763
62,0,0.424016,-1.10282,0.228883,-3.91034,0.259537,-2.05572,3.48189,1.37422,-2.21716
63,0,0.410003,-1.10374,0.222674,-3.91319,0.261527,-2.05425,3.4989,1.37678,-2.20909
64,0,0.394874,-1.10956,0.207259,-3.91597,0.262849,-2.053,3.51716,1.38299,-2.19174
65,0,0.379068,-1.11882,0.18536,-3.91942,0.263603,-2.05199,3.53694,1.39166,-2.16791
66,0,0.363544,-1.12872,0.162561,-3.92431,0.263875,-2.05119,3.55789,1.40045,-2.14334
67,0,0.349183,-1.13652,0.144463,-3.931,0.263691,-2.05056,3.57937,1.40697,-2.12375
68,0,0.336458,-1.14032,0.134947,-3.9395,0.263124,-2.05,3.60083,1.40965,-2.11304
69,0,0.325514,-1.13918,0.136011,-3.94967,0.262398,-2.04928,3.62193,1.40792,-2.11304
70,0,0.316259,-1.13302,0.147722,-3.96108,0.261818,-2.04815,3.64234,1.40198,-2.12359
71,0,0.308249,-1.12285,0.167581,-3.97276,0.261565,-2.04651,3.66158,1.39288,-2.14204
72,0,0.300533,-1.11094,0.190213,-3.98315,0.261663,-2.04447,3.67917,1.38258,-2.16299
73,0,0.29196,-1.1001,0.209242,-3.99055,0.2621,-2.04224,3.69471,1.37344,-2.18013
74,0,0.281904,-1.09217,0.22085,-3.99412,0.262823,-2.03998,3.70808,1.36699,-2.1897
75,0,0.27059,-1.08728,0.225253,-3.99471,0.263629,-2.03768,3.71989,1.36321,-2.19188
76,0,0.258677,-1.08475,0.224725,-3.99441,0.26422,-2.03523,3.73152,1.36125,-2.18883
77,0,0.246738,-1.08396,0.221238,-3.99515,0.264468,-2.03272,3.74428,1.36049,-2.18263
