Trajectories
100
,,Sub3:LFHD,,,Sub3:RFHD,,,Sub3:LBHD,,,Sub3:RBHD,,,Sub3:C7,,,Sub3:T10,,,Sub3:CLAV,,,Sub3:STRN,,,Sub3:LSHO,,,Sub3:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,144.894012,325.823700,1364.593506,36.945950,326.608429,1367.079224,167.130264,468.106445,1354.799927,8.622792,461.428406,1358.011230,83.239784,523.516418,1155.989136,81.351814,575.268982,933.074402,90.648933,351.825775,1108.291138,93.491119,288.810669,956.809509,258.357239,423.123352,1135.122803,-82.904579,407.890106,1131.970703
2,0,144.899033,325.822449,1364.581909,36.952427,326.603241,1367.070923,167.134186,468.105713,1354.801758,8.626639,461.422821,1358.014893,83.238411,523.526611,1155.984497,81.354134,575.276733,933.072388,90.658920,351.834412,1108.284912,93.498795,288.865967,956.776978,258.360535,423.140594,1135.112793,-82.901970,407.911407,1131.962036
3,0,144.905029,325.821930,1364.568970,36.960060,326.598785,1367.062012,167.139023,468.105743,1354.803467,8.630972,461.418060,1358.018921,83.238686,523.539062,1155.979370,81.357422,575.284912,933.069397,90.668144,351.847809,1108.277222,93.511314,288.945892,956.729919,258.364441,423.161285,1135.100830,-82.898727,407.937439,1131.952759
4,0,144.911850,325.822510,1364.556152,36.968155,326.596497,1367.053833,167.144638,468.107147,1354.804688,8.635447,461.415436,1358.023071,83.241257,523.553284,1155.974609,81.361649,575.292480,933.065613,90.675697,351.865387,1108.268311,93.529106,289.050995,956.668640,258.368622,423.184174,1135.088013,-82.894836,407.966705,1131.943970
5,0,144.919571,325.824066,1364.545776,36.975952,326.597809,1367.047852,167.150925,468.110474,1354.805298,8.639767,461.416260,1358.027832,83.246262,523.568665,1155.971069,81.366791,575.298828,933.061340,90.682419,351.885071,1108.258545,93.551361,289.176666,956.596375,258.372620,423.207825,1135.074585,-82.890305,407.997467,1131.936279
6,0,144.928879,325.826080,1364.540039,36.982899,326.603638,1367.045166,167.157730,468.116211,1354.805176,8.643756,461.421570,1358.032959,83.253281,523.584473,1155.968750,81.372757,575.304077,933.057495,90.689606,351.904358,1108.248535,93.575493,289.310242,956.520630,258.376068,423.230835,1135.061646,-82.885216,408.027985,1131.930298
7,0,144.940948,325.827454,1364.540894,36.988716,326.614502,1367.046021,167.164795,468.124878,1354.804443,8.647286,461.431915,1358.038086,83.261475,523.599915,1155.967773,81.379364,575.308289,933.054321,90.697227,351.922028,1108.238281,93.597694,289.432312,956.451904,258.378784,423.252136,1135.049072,-82.879768,408.056763,1131.925659
8,0,144.957321,325.826843,1364.550415,36.993378,326.630249,1367.050171,167.171936,468.136627,1354.802734,8.650271,461.447296,1358.042358,83.269913,523.614258,1155.967651,81.386345,575.311218,933.052246,90.703743,351.938293,1108.227661,93.615288,289.526947,956.397766,258.380951,423.271118,1135.037598,-82.874138,408.082886,1131.921509
9,0,144.979446,325.823090,1364.570068,36.996937,326.650513,1367.057495,167.178894,468.151825,1354.800049,8.652658,461.467285,1358.044800,83.277832,523.626648,1155.967651,81.393372,575.312927,933.051147,90.707787,351.953522,1108.215942,93.628418,289.590820,956.358948,258.383148,423.287415,1135.027100,-82.868263,408.105896,1131.917114
