Model Outputs
100
,,Sub4:LHeadAngles,,,Sub4:LNeckAngles,,,Sub4:LThoraxAngles,,,Sub4:RHeadAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,0.879379,2.81927,19.8404,-17.0275,-7.24052,-15.0575,17.5504,1.53111,2.99198,0.879379,-2.81927,-19.8404
2,0,0.88257,2.82319,19.8447,-17.0288,-7.25275,-15.0506,17.5523,1.52493,3.00138,0.88257,-2.82319,-19.8447
3,0,0.885351,2.8277,19.8494,-17.0301,-7.26149,-15.0481,17.5536,1.5228,3.00674,0.885351,-2.8277,-19.8494
4,0,0.886923,2.83241,19.8542,-17.0294,-7.26505,-15.0506,17.5527,1.52517,3.00733,0.886923,-2.83241,-19.8542
5,0,0.886609,2.83699,19.8582,-17.0244,-7.26399,-15.0562,17.5481,1.53026,3.00489,0.886609,-2.83699,-19.8582
6,0,0.884042,2.84129,19.8611,-17.0136,-7.26026,-15.0618,17.5394,1.53544,3.00224,0.884042,-2.84129,-19.8611
7,0,0.879193,2.84528,19.862,-16.9965,-7.25553,-15.0648,17.5267,1.53875,3.00146,0.879193,-2.84528,-19.862
8,0,0.872317,2.84901,19.8601,-16.9738,-7.25046,-15.0635,17.5105,1.53952,3.0033,0.872317,-2.84901,-19.8601
9,0,0.863839,2.85246,19.8543,-16.9468,-7.2446,-15.0571,17.4915,1.53823,3.00724,0.863839,-2.85246,-19.8543
10,0,0.854263,2.8554,19.843,-16.9175,-7.23648,-15.0454,17.4708,1.53622,3.01175,0.854263,-2.8554,-19.843
11,0,0.844175,2.85733,19.8243,-16.8886,-7.22411,-15.0284,17.4493,1.5351,3.01497,0.844175,-2.85733,-19.8243
12,0,0.834306,2.85757,19.7963,-16.8621,-7.20572,-15.0052,17.4278,1.53597,3.01561,0.834306,-2.85757,-19.7963
13,0,0.825563,2.85539,19.7573,-16.8398,-7.18032,-14.9747,17.4067,1.53905,3.01335,0.825563,-2.85539,-19.7573
14,0,0.819014,2.85023,19.7061,-16.8228,-7.14782,-14.9353,17.3859,1.5439,3.00855,0.819014,-2.85023,-19.7061
15,0,0.815801,2.84175,19.6427,-16.8118,-7.10894,-14.8863,17.3653,1.54974,3.002,0.815801,-2.84175,-19.6427
16,0,0.817127,2.82997,19.568,-16.8077,-7.06527,-14.8274,17.3448,1.55563,2.99464,0.817127,-2.82997,-19.568
17,0,0.824381,2.81551,19.4846,-16.811,-7.0194,-14.7598,17.3247,1.5606,2.98747,0.824381,-2.81551,-19.4846
