Model Outputs
100
,,Sub5:LHeadAngles,,,Sub5:LNeckAngles,,,Sub5:LThoraxAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,0.0237452,0.690476,-0.571587,-2.39422,0.0854353,4.08572,2.37141,0.751426,3.48577
2,0,0.024273,0.693136,-0.572902,-2.39653,0.0836996,4.08688,2.37318,0.752269,3.48549
3,0,0.0243377,0.696415,-0.574273,-2.39893,0.0815082,4.08807,2.37549,0.753271,3.48514
4,0,0.0235928,0.700098,-0.575591,-2.40092,0.079016,4.08915,2.3782,0.754383,3.48473
5,0,0.0217116,0.703906,-0.576783,-2.40191,0.0764207,4.09006,2.38106,0.755532,3.48427
6,0,0.0184356,0.707519,-0.577806,-2.40136,0.0739539,4.09076,2.38376,0.756638,3.48381
7,0,0.0136173,0.710607,-0.578614,-2.3988,0.0718947,4.09124,2.386,0.757658,3.48338
8,0,0.00725888,0.712874,-0.579159,-2.39399,0.0705393,4.09155,2.38753,0.758596,3.48311
9,0,-0.000505868,0.714096,-0.579429,-2.38686,0.0701472,4.0918,2.38817,0.759488,3.48313
10,0,-0.00948052,0.714127,-0.579492,-2.37759,0.0708947,4.09223,2.38787,0.760363,3.4836
11,0,-0.019447,0.712921,-0.579492,-2.36643,0.0728438,4.09304,2.3867,0.761225,3.4846
12,0,-0.0301305,0.710582,-0.579613,-2.35381,0.0759053,4.09443,2.3848,0.762079,3.48611
13,0,-0.0411607,0.707402,-0.580019,-2.3403,0.0798145,4.09648,2.38236,0.762937,3.48804
14,0,-0.0521214,0.703751,-0.580788,-2.32654,0.0842206,4.09914,2.3796,0.763811,3.49025
15,0,-0.0626493,0.699901,-0.581906,-2.31305,0.0888859,4.10229,2.37669,0.764728,3.4926
16,0,-0.0725049,0.695897,-0.583317,-2.30018,0.0938201,4.10578,2.37373,0.765741,3.49499
17,0,-0.0815884,0.691608,-0.584951,-2.28806,0.0992105,4.10941,2.37075,0.76691,3.4973
18,0,-0.0899031,0.68694,-0.586681,-2.27672,0.105197,4.11297,2.36778,0.768285,3.49945
19,0,-0.0975374,0.681984,-0.588324,-2.26611,0.111722,4.11625,2.36488,0.769905,3.5014
20,0,-0.104686,0.676953,-0.589709,-2.25618,0.118579,4.11909,2.36217,0.771786,3.50317
21,0,-0.111587,0.672112,-0.590679,-2.2468,0.125476,4.12139,2.35976,0.773908,3.5048
22,0,-0.118375,0.667769,-0.591047,-2.23793,0.132034,4.12309,2.35775,0.776206,3.5064
23,0,-0.125002,0.664231,-0.59059,-2.2297,0.137831,4.12409,2.35621,0.778573,3.50809
24,0,-0.131265,0.661685,-0.589127,-2.22237,0.142549,4.12434,2.35518,0.780883,3.50998
25,0,-0.13686,0.660123,-0.58662,-2.21622,0.146093,4.12385,2.35466,0.783028,3.51212
26,0,-0.141438,0.659358,-0.583231,-2.21155,0.148592,4.12276,2.35459,0.784943,3.5145
27,0,-0.144699,0.659088,-0.579302,-2.20862,0.150357,4.12134,2.35493,0.786621,3.51705
28,0,-0.146487,0.658934,-0.575326,-2.20759,0.151845,4.12001,2.35569,0.78812,3.51971
29,0,-0.146858,0.658527,-0.571883,-2.20847,0.153553,4.11925,2.35695,0.789546,3.52239
30,0,-0.146081,0.657647,-0.569514,-2.21105,0.155827,4.11952,2.35877,0.791005,3.52504
31,0,-0.144585,0.656325,-0.56859,-2.21489,0.158711,4.12114,2.36114,0.792562,3.52759
32,0,-0.142877,0.65482,-0.569289,-2.21938,0.161965,4.12423,2.36396,0.794238,3.52999
