Model Outputs
100
,,Sub6:LHeadAngles,,,Sub6:LThoraxAngles,,,Sub6:LNeckAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg
1,0,-0.814967,-0.724814,-0.0233335,-0.138465,-0.260762,0.68415,0.953637,0.463564,0.719542
2,0,-0.816255,-0.730325,-0.0234867,-0.139084,-0.261859,0.68051,0.955546,0.467972,0.716172
3,0,-0.817973,-0.738342,-0.0244492,-0.139667,-0.263371,0.676077,0.957859,0.474458,0.712867
4,0,-0.819995,-0.748977,-0.0266456,-0.140083,-0.265355,0.671143,0.960322,0.483068,0.710339
5,0,-0.822043,-0.762061,-0.0305899,-0.140213,-0.267889,0.666046,0.962541,0.493547,0.709435
6,0,-0.823761,-0.777203,-0.0368413,-0.139969,-0.271018,0.661045,0.964083,0.505451,0.710959
7,0,-0.824832,-0.79388,-0.0458921,-0.13935,-0.274733,0.656275,0.964631,0.518259,0.715524
8,0,-0.825025,-0.811506,-0.0580351,-0.138474,-0.278997,0.651807,0.964077,0.531414,0.723484
9,0,-0.824177,-0.829463,-0.0732335,-0.137544,-0.283737,0.647715,0.962461,0.544375,0.734866
10,0,-0.822121,-0.847132,-0.0910553,-0.136771,-0.28881,0.64408,0.959825,0.556675,0.749307
11,0,-0.81864,-0.863973,-0.110712,-0.136319,-0.294037,0.641006,0.956105,0.567966,0.766115
12,0,-0.813447,-0.879647,-0.131174,-0.136321,-0.299274,0.638613,0.951139,0.578071,0.784368
13,0,-0.80618,-0.894098,-0.151312,-0.13686,-0.304402,0.636919,0.944636,0.587077,0.802949
14,0,-0.796314,-0.907469,-0.170036,-0.137813,-0.309261,0.635739,0.935937,0.595308,0.820575
15,0,-0.783072,-0.919935,-0.186449,-0.138732,-0.313654,0.634732,0.923809,0.603155,0.835988
16,0,-0.765423,-0.931632,-0.200009,-0.138978,-0.317401,0.633525,0.906573,0.610952,0.848247
17,0,-0.742154,-0.942708,-0.210653,-0.137982,-0.320353,0.631794,0.88245,0.619003,0.856934
18,0,-0.711946,-0.953317,-0.2188,-0.13536,-0.322395,0.629279,0.849741,0.627582,0.86218
19,0,-0.673393,-0.963533,-0.225209,-0.130843,-0.323457,0.625768,0.806778,0.636828,0.864499
20,0,-0.625071,-0.973311,-0.230708,-0.124149,-0.323551,0.62111,0.751863,0.646676,0.864535
21,0,-0.565712,-0.98254,-0.235909,-0.11501,-0.322764,0.615254,0.683465,0.656926,0.862816
22,0,-0.494353,-0.991121,-0.24101,-0.103288,-0.321227,0.608268,0.600484,0.667347,0.859585
23,0,-0.41029,-0.998968,-0.245798,-0.0890293,-0.319126,0.600346,0.50226,0.677666,0.854806
24,0,-0.312896,-1.006,-0.24989,-0.072437,-0.316738,0.591809,0.388359,0.687522,0.848406
25,0,-0.201486,-1.01209,-0.253027,-0.0537761,-0.314461,0.583136,0.258358,0.696402,0.8406
26,0,-0.0752569,-1.01702,-0.255242,-0.0331722,-0.312893,0.575074,0.111577,0.703484,0.832159
27,0,0.0666896,-1.02046,-0.256876,-0.0105032,-0.312908,0.568724,-0.053009,0.707569,0.824515
28,0,0.225345,-1.02213,-0.258586,0.0143586,-0.315503,0.565301,-0.236516,0.707389,0.81953
29,0,0.401905,-1.02186,-0.261309,0.041205,-0.32136,0.565561,-0.439926,0.702121,0.8189
30,0,0.597863,-1.01955,-0.266152,0.0695173,-0.330456,0.569349,-0.664202,0.691747,0.823579
31,0,0.814936,-1.01522,-0.27423,0.0987475,-0.342054,0.575646,-0.910498,0.677052,0.833669
32,0,1.05483,-1.00891,-0.286507,0.128532,-0.354938,0.582926,-1.18014,0.659397,0.848611
33,0,1.3189,-1.00078,-0.303659,0.158807,-0.367559,0.589463,-1.47441,0.640562,0.867357
34,0,1.60769,-0.991061,-0.325951,0.18974,-0.378303,0.593663,-1.794,0.622487,0.888586
35,0,1.92076,-0.980188,-0.353134,0.221571,-0.385978,0.594496,-2.13872,0.606875,0.911028
36,0,2.25667,-0.968821,-0.384515,0.254637,-0.39024,0.59178,-2.50747,0.594789,0.93382
37,0,2.61332,-0.957651,-0.419191,0.289419,-0.391685,0.586161,-2.89862,0.586368,0.956708
38,0,2.98827,-0.947175,-0.456225,0.326411,-0.391594,0.578844,-3.31027,0.580853,0.979967
39,0,3.37907,-0.937769,-0.494743,0.365878,-0.391508,0.571281,-3.74021,0.577086,1.00417
40,0,3.78321,-0.929955,-0.533992,0.407559,-0.392816,0.56485,-4.18572,0.574184,1.02991
41,0,4.19811,-0.92448,-0.573335,0.45053,-0.396374,0.560462,-4.64328,0.571998,1.05741
42,0,4.62109,-0.922159,-0.612237,0.493456,-0.40225,0.558271,-5.10887,0.571207,1.08622
43,0,5.04955,-0.923732,-0.650279,0.535113,-0.40975,0.557689,-5.57865,0.573169,1.11525
44,0,5.48125,-0.929835,-0.687122,0.574777,-0.417721,0.557655,-6.04963,0.57959,1.14299
45,0,5.9145,-0.940926,-0.722544,0.61238,-0.425036,0.557053,-6.52005,0.591977,1.16799
46,0,6.3483,-0.957097,-0.756498,0.648549,-0.431039,0.555122,-6.98952,0.611029,1.18933
47,0,6.78241,-0.97796,-0.789051,0.684539,-0.435684,0.551618,-7.45905,0.636377,1.20674
48,0,7.21731,-1.00282,-0.820252,0.721862,-0.43941,0.546785,-7.93064,0.666865,1.22046
49,0,7.65394,-1.03104,-0.850087,0.761747,-0.442893,0.541284,-8.40647,0.701165,1.23108
50,0,8.09347,-1.06222,-0.878587,0.804696,-0.446739,0.536007,-8.88822,0.738265,1.23944
51,0,8.53704,-1.09605,-0.906051,0.850091,-0.451184,0.531741,-9.37642,0.777629,1.24658
